t,PTP_Obs,STAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3_Obs
0,6.60793236290455,12.5896505485742,-1.60949871736703,0.296937545234763,0.000404459080969348,2.2480537095319
9,NaN,NaN,23.6050744631488,3.52679608869405,NaN,NaN
10,NaN,2.94001770038,NaN,NaN,NaN,124.112332441537
15,4.30467438150313,NaN,NaN,NaN,0.00156904687423367,NaN
20,NaN,5.7657255349773,18.426906601967,1.05439306826791,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,73.195634989021
30,6.4790861524908,12.5115692895912,10.3512022308127,0.110512758033698,NaN,NaN
35,NaN,NaN,NaN,NaN,0.000497095789740098,48.5810672833443
40,NaN,NaN,3.70220805012284,-0.104180655369096,NaN,NaN
45,5.66459298915211,11.9630154127177,NaN,NaN,NaN,NaN
50,NaN,NaN,4.91057317328859,NaN,NaN,25.1104138873562
55,NaN,NaN,NaN,0.625296372402506,0.000271114460137722,NaN
60,NaN,9.82238959882771,NaN,NaN,NaN,NaN
65,5.32184294045467,NaN,10.1487760023722,NaN,NaN,21.664223385683
70,NaN,NaN,NaN,1.65147851036645,NaN,NaN
75,NaN,NaN,NaN,NaN,0.000582059964000262,NaN
80,4.27723345510927,9.22716678414741,NaN,NaN,NaN,6.84797986584871
85,NaN,NaN,15.6053436463813,NaN,NaN,NaN
90,NaN,NaN,NaN,1.67261295699038,NaN,NaN
100,7.16309727489573,6.30871963789884,14.3929209210345,1.52310348222848,0.00125529085847613,4.84985930701781
150,5.23814094312017,9.05900342367199,13.7517307303243,NaN,0.000981486814455945,5.25492128902715
200,5.8509686337867,NaN,NaN,NaN,NaN,13.9641539441385
250,7.10736720310319,NaN,NaN,NaN,NaN,NaN
