t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,-0.730911442513182,0.0015233750518876,0.00177116731592704,1.14560192369947
15,5.57040567928256,NaN,NaN,NaN
20,NaN,NaN,NaN,1.31755873126659
25,NaN,NaN,0.00207823064711916,NaN
30,11.0154286669215,0.00185261715109441,NaN,NaN
40,NaN,NaN,NaN,1.42346846028105
50,12.407575273103,NaN,NaN,NaN
55,NaN,NaN,0.00180989428215554,NaN
60,NaN,0.00147198969372019,NaN,1.2141091562475
65,10.2848542682683,NaN,NaN,NaN
80,NaN,NaN,NaN,1.41523069515819
85,10.5010054118624,NaN,0.00169536675566611,NaN
90,NaN,0.00168885547942343,NaN,NaN
100,10.1673139605143,NaN,0.00148728128780575,1.42862257019278
150,7.61969360518257,0.00137220251276668,0.00174167189982147,1.25731737099099
200,7.14098878238221,0.00176199845433875,0.0016377244502141,1.37445992689258
250,8.84119872690868,0.00184093644980769,0.00171666069824409,1.28524388150738
300,7.6802242300935,NaN,0.00154941201135815,1.21161425787029
350,8.54944546751465,0.00159238141445757,0.00160853383817192,NaN
400,NaN,0.00154690109463041,NaN,NaN
450,NaN,NaN,0.00176883218639688,NaN
