t,PTP_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,42.6828554003847,0.000811073000454455,0.0270025748073862
5.5,51.5212891222547,NaN,NaN
10,47.3623327566669,-0.000126243932434203,-0.00543251424365214
15,44.5217681776107,NaN,NaN
20,NaN,0.0129292134143012,NaN
25,46.6740702826455,NaN,0.0595067089660325
30,50.5558689053313,NaN,NaN
35,NaN,0.0205211315662721,0.110977607904619
40,48.6943355404341,NaN,NaN
45,44.3359162754713,0.0240353834656286,NaN
50,NaN,NaN,0.159996366368834
55,41.4171451926588,NaN,NaN
60,NaN,0.0224267831274583,NaN
65,NaN,NaN,0.143708786780695
70,39.9980702103954,NaN,NaN
75,NaN,0.0170148863023848,NaN
80,NaN,NaN,0.140244165235235
85,52.7482250376264,NaN,NaN
95,NaN,0.0192357925602887,NaN
100,57.3341499957684,0.0199826879528018,0.127777391884091
150,NaN,0.0175011433434923,0.110181939487996
200,NaN,0.0174177845566986,0.126334678880107
