t,EpoRpJAK2_Obs,PTP_Obs,STAT5_Obs,nSTAT5_Obs,CISHnRNA2_Obs,CIS_Obs,SOCS3nRNA5_Obs
0,-0.00125887918831636,54.1307237262632,9.70589173073847,-0.272907750993141,4.28989173421789e-05,0.0801670028511951,0.00279711670949065
7.5,NaN,49.5194414195807,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,0.00291755993210243
10,NaN,NaN,9.94893390408457,NaN,NaN,NaN,NaN
15,0.0424544342643888,41.065600923485,NaN,5.20465553970224,NaN,0.064748148857873,NaN
20,NaN,NaN,NaN,NaN,0.000234345633906371,NaN,0.00346599941062644
25,NaN,33.5863950351851,6.50321312049734,8.22199884335998,NaN,NaN,NaN
30,0.0357476644917187,NaN,NaN,NaN,NaN,0.0699473123573607,0.00371395962456124
35,NaN,48.3108532963909,NaN,NaN,0.000209172521006535,NaN,NaN
40,NaN,NaN,7.51373282686567,8.23066073869707,NaN,NaN,0.00324787810374288
45,NaN,50.8714238602131,NaN,NaN,NaN,0.111582645322024,NaN
50,0.0690785672309027,NaN,11.9421748912999,NaN,NaN,NaN,0.00335963734309986
55,NaN,39.5463699908951,NaN,6.73060570621367,0.000172143783655947,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.139460602867473,NaN
65,0.0639097262723063,NaN,NaN,NaN,NaN,NaN,0.00369456557887755
70,NaN,42.6620700018956,14.2077486909517,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,3.58165481109878,0.000161024895026619,0.151225476153488,NaN
85,NaN,NaN,12.4960200570982,NaN,NaN,NaN,0.00286853161269942
90,0.061362632878158,37.4473594188508,NaN,4.51750351384426,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,0.172188076699177,NaN
100,0.0688124842813549,NaN,13.2412265082997,3.60596589966602,0.000126598933428607,0.104318998669422,0.00396221564986968
150,0.0706207000186494,NaN,10.7321894099148,2.79213341631494,8.00855046919958e-05,0.181244535145984,0.00184614416334202
200,0.0665427405638539,NaN,8.73711504457834,1.35336078475773,6.36549185371937e-05,0.200470591148309,NaN
250,NaN,NaN,12.4235760948927,2.65541597561794,6.90542607798806e-05,0.204754868045507,NaN
300,NaN,NaN,NaN,NaN,7.07327170135448e-05,NaN,NaN
