t,pEpoRpJAK2_Obs,CISHnRNA1_Obs,CISHnRNA5_Obs
0,0.0342128109249982,5.28400439559263e-05,7.39760003978628e-05
45,0.471387784203364,NaN,NaN
85,0.513739351570844,NaN,0.000655851559293255
100,NaN,0.000629045553098033,NaN
150,0.349261708267833,NaN,NaN
200,0.284716542370276,0.00062157328185344,0.000563281578605091
250,0.322753429423212,NaN,NaN
300,0.320947641822107,0.000489989852821216,0.000574448088997714
350,0.340552005415493,NaN,NaN
400,NaN,NaN,0.000502975613741746
450,0.317745014587421,0.000497164469543225,NaN
550,0.325217773914789,0.00056145284630167,0.000490896762016601
650,0.300294370274091,NaN,NaN
700,NaN,0.000388721012287394,NaN
800,0.262970605479243,NaN,NaN
900,NaN,0.000546757039028481,NaN
1000,NaN,0.000640129157180342,NaN
1500,NaN,0.000415079544306029,NaN
