t,EpoRpJAK2_Obs,SOCS3nRNA1_Obs
0,0.0181620565472612,0.0145167174129547
6.5,0.142573521438228,NaN
9,NaN,0.0281617470433313
15,0.114905599736585,NaN
20,0.100232242507882,0.0772820709198094
30,0.120482257146419,0.0850576162784062
35,0.0823859239725885,NaN
40,NaN,0.093190976623794
45,0.0922535590909834,NaN
50,NaN,0.0760191715341996
55,0.0665659246215491,NaN
65,NaN,0.0662530583549583
70,0.0814693981416562,NaN
80,NaN,0.042367824958944
85,0.101953538072099,NaN
100,0.0834643713647398,0.0329232527220538
150,NaN,0.0321704960732108
