t,PTP_Obs,nSTAT5_Obs,SOCS3nRNA3_Obs
0,1.67545234075533,0,0.0013642175949854
15,NaN,NaN,0.0265405179242617
20,NaN,5.24946981913719,NaN
25,1.29761968256599,NaN,0.00836101941304653
40,NaN,6.7271248868078,0.00663211781795914
55,1.21219267560412,NaN,NaN
60,NaN,7.78108902058849,0.00524704600838317
75,NaN,NaN,0.00517608836273602
80,1.25622110101411,NaN,NaN
85,NaN,5.10061114808689,NaN
100,1.62592244869465,5.09645808052959,0.0032716830259474
150,1.42891911943805,3.68073014690292,0.00269219592640138
200,1.30563276355901,4.68860224318868,NaN
250,0.991154210563388,4.56881632534718,NaN
300,0.92222780724752,4.14477369295209,NaN
350,0.957610037668924,NaN,NaN
400,NaN,4.4623930824015,NaN
450,0.990845688323636,NaN,NaN
