t,EpoRJAK2_Obs,STAT5_Obs,CISHnRNA2_Obs
0,5.27722119751164,42.1754912460737,-0.00144189087804838
5,0.649792926178657,NaN,NaN
7.5,NaN,4.38490610086103,NaN
10,2.15879034924719,NaN,0.0253881697434577
15,2.18114906840436,2.8217500942794,NaN
20,2.62766264379243,NaN,NaN
25,2.77967106900783,3.89578682932728,0.0846189566055846
30,NaN,7.12460648498382,NaN
35,4.040412847562,NaN,0.112868179324336
40,3.93122419982702,11.282853438783,NaN
50,3.95299905833195,20.2770681454493,0.0960224078515359
60,4.08909536703353,NaN,NaN
65,NaN,26.4015895239722,0.0696599714897777
75,3.62087540559628,NaN,NaN
80,NaN,30.7656331680213,0.0508701220233687
85,4.30430741314059,NaN,NaN
95,NaN,34.3847251237482,NaN
100,3.61012388999371,32.3945810197343,0.0262795541221172
150,NaN,30.3296363821053,0.0204462499133829
200,NaN,NaN,0.0322607258974345
