t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs
0,5.21268721849365,44.3487256705472,-0.0228196536308391,-0.15689751164479,0.000533516144793647,0.00483330142428161
5.5,3.69880043606855,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.342389052186029,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.0035695412576362,NaN
9.5,NaN,29.1237539600132,NaN,NaN,NaN,NaN
10,4.28703280689481,NaN,8.91379278052613,NaN,NaN,0.0142433034277196
15,5.03053831275668,NaN,NaN,1.28968660489429,0.0105144082757933,NaN
20,NaN,31.9871428588029,7.39754681210683,1.48728286340814,NaN,NaN
25,4.56135969659571,NaN,NaN,NaN,0.0243929517212419,0.041659804817826
30,4.93459394286045,28.2425468239502,5.40224598099036,2.33960072392871,0.0281586135350206,NaN
35,NaN,NaN,NaN,NaN,NaN,0.042155741954679
40,4.67839958685826,34.3905746580136,3.95249874230337,2.74755381210669,0.0320903776587859,NaN
45,4.69584160626219,NaN,NaN,2.77438320284205,NaN,NaN
50,NaN,NaN,NaN,NaN,0.0335018165830602,0.0363824358848228
55,4.87204407609785,32.5859550287306,2.69457185903126,NaN,NaN,NaN
60,NaN,NaN,NaN,2.36839406865126,NaN,NaN
65,NaN,NaN,NaN,NaN,0.0256296638241271,0.0279723641377979
70,5.24970105651711,36.2977036068435,1.54796005480316,1.99208535679581,NaN,NaN
80,NaN,NaN,NaN,NaN,0.0215445911252871,0.0195674831880389
85,4.51188079936449,36.9303622432506,1.11607065322015,1.7000832797006,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0123411668122712,NaN
100,4.64695262143438,35.7819506708347,0.566420395180948,0.896331808967512,0.0114853044427578,0.0110783113308528
150,NaN,39.0790860865824,1.02460326770995,0.567573001314448,0.00853792053153485,0.012491750217736
200,NaN,40.9886709338446,0.758447918350682,NaN,NaN,0.0123631886877989
