t,CISHnRNA3_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,0.000106655593031471,-0.115661291401845,0.0230502068483516
4,NaN,NaN,-0.026050517623465
4.5,NaN,-0.0361446731137154,NaN
5,9.13149901949118e-05,NaN,NaN
8.5,NaN,NaN,-0.1359181840106
9.5,NaN,0.0080138881456516,NaN
10,5.24843147033219e-05,NaN,NaN
15,1.27247257402811e-05,-0.00219292859953133,0.155497495293013
20,NaN,0.102008870835249,-0.0570334539683059
25,-2.91397439801987e-05,NaN,0.0823982628233709
30,-3.88485812214817e-05,0.0560173105303581,0.0411263667304554
35,NaN,0.0886404321484065,NaN
40,-4.38929571648495e-05,NaN,NaN
