t,EpoRpJAK2_Obs,CISHnRNA3_Obs
0,0.000374500554434552,6.36252009133518e-05
15,0.0138064812671717,0.000230402425272662
30,0.0298792191638421,NaN
35,NaN,0.000412823425664037
45,0.0339870546674645,NaN
55,NaN,0.000336614289762548
60,0.0378601657750389,NaN
75,NaN,0.000292689939148809
80,0.0418453493363814,NaN
100,0.0477405184455231,0.000268865449140574
150,0.0507126783781359,0.000238728898388934
200,0.0475352977466198,0.000225419749238289
250,0.0527621757062009,0.000244556237398888
300,0.0502263529010648,NaN
