t,EpoRpJAK2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs
0,0.00975573021861107,9.43927833264507e-05,5.90564072317322e-05
15,NaN,0.00105584125142468,0.000420938261527623
25,0.0484413582038373,NaN,NaN
30,NaN,0.001145344895375,NaN
35,NaN,NaN,0.0011257976210764
45,NaN,0.00096823113926912,NaN
50,0.0645856062344326,NaN,NaN
55,NaN,NaN,0.00104876888902072
60,NaN,0.000979799648343302,NaN
75,NaN,NaN,0.00098078459892769
80,0.0883211987843974,0.000992192575162815,NaN
100,0.101438676172901,0.00105435504872253,0.000925554128322858
150,0.11238379260074,0.00104110449206167,0.000974051612753652
200,0.115389079793602,NaN,0.00103994935627983
250,0.12375749381327,NaN,NaN
300,0.122814930602823,NaN,NaN
350,0.109978689116491,NaN,NaN
450,0.119234801978423,NaN,NaN
