t,PTP_Obs,nSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,15.0465587548798,-0.0199350241312406,0.000174766114161492,0.000249023272012612,0.169185564320586,0.00620217459407095
5.5,14.8077442506818,NaN,NaN,NaN,NaN,NaN
10,15.2457438398226,NaN,NaN,NaN,NaN,NaN
15,14.7629242984845,3.02322945171092,NaN,NaN,NaN,NaN
20,NaN,NaN,0.00208026011674411,0.000561163429981144,0.0677611824749254,NaN
25,15.1596039444697,NaN,NaN,NaN,NaN,0.00670629059946536
30,15.4008227919097,NaN,NaN,NaN,NaN,NaN
35,NaN,4.58846108116578,NaN,NaN,0.172767928420792,NaN
40,14.8011534638469,NaN,NaN,0.00234711478980401,NaN,NaN
45,15.2365297960522,NaN,0.0111761135447392,NaN,NaN,NaN
50,NaN,3.38297679189338,NaN,NaN,NaN,0.0182182267422576
55,14.3262343402521,NaN,NaN,NaN,0.391020875249048,NaN
60,NaN,NaN,NaN,0.00884436049269031,NaN,NaN
70,14.6328299560093,2.03027004455428,0.0103571280867902,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,1.08937412578536,0.030525976960088
80,14.3710373173431,NaN,NaN,0.0160665290983549,NaN,NaN
90,NaN,1.15785370234348,NaN,NaN,NaN,NaN
95,NaN,NaN,0.00623478566493488,NaN,NaN,NaN
100,14.7545010437769,0.967998985480471,NaN,0.0194367739760125,2.37223090564148,0.0274498169716629
150,NaN,0.504416217316724,0.00227600331704346,0.0130472175462426,3.92927046285493,0.0137122588434108
200,NaN,0.45916576445098,0.00166203260258854,0.00709603048503124,3.94068170204863,0.0110369176981837
250,NaN,0.369624923245555,0.00158854297369446,0.00457672789804627,3.48491198789275,0.00974185222433986
300,NaN,NaN,0.0014493145161833,0.00380041613322013,2.79907541307582,0.00984715151797296
350,NaN,NaN,0.00138577867528757,NaN,2.28416210286622,0.00912494162305475
400,NaN,NaN,NaN,NaN,2.02481326416225,NaN
