t,EpoRJAK2_Obs,CISHnRNA1_Obs
0,1.51184146250856,-0.0229767391013347
6,0.819336191460504,NaN
7.5,NaN,0.0164567062415001
15,0.681688909221533,0.0298303829842988
20,1.10967987943214,NaN
25,0.0564674793621038,0.0485992393108958
30,NaN,0.053129266408229
35,1.02301693602658,NaN
40,NaN,0.0317038622826134
45,1.84656249274745,NaN
55,NaN,0.0193224789159401
60,1.59776430235748,NaN
65,NaN,0.0266149922115369
75,1.69588686077591,NaN
80,NaN,0.00236751090305255
95,1.77980212698063,NaN
100,NaN,0.00742533194888264
