t,pEpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00136321770327783,7.48978510550922e-05,0.00525023474441137,0.00579755406101658,0.0346521676883816,146.903855511288
7.5,0.119340185200084,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,141.208548785389
10,NaN,NaN,0.00529491548514676,0.00564763660874419,NaN,NaN
15,0.107373679211315,0.000189739860881805,NaN,NaN,0.0316561384018345,NaN
20,NaN,NaN,0.00545232937295461,NaN,NaN,142.627479504329
25,0.0473701796663581,NaN,NaN,0.00550188502123792,NaN,NaN
30,0.035620810195499,0.000890306357107729,NaN,NaN,NaN,140.605084230557
35,NaN,NaN,0.0056655183267655,0.00563152382809462,0.0321262478962344,NaN
40,0.0289847084366075,NaN,NaN,NaN,NaN,144.358758963967
45,NaN,0.0033540501256701,NaN,NaN,NaN,NaN
50,NaN,NaN,0.00552058822910877,0.00563896096023535,NaN,NaN
55,0.0250592154496721,NaN,NaN,NaN,0.0337055101985937,137.993675710508
60,NaN,0.00509869238231779,NaN,NaN,NaN,NaN
65,0.0193782324707272,NaN,0.00537635709173715,0.00551814274757011,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,142.832186920831
75,NaN,NaN,NaN,NaN,0.0332027875660602,NaN
80,NaN,0.00470246953904227,0.00549907312570979,0.0052818118696018,NaN,NaN
85,0.0207334452158184,NaN,NaN,NaN,NaN,142.989747114739
100,0.0173255844813578,0.00350484759905243,0.00533963864371999,0.00548722321060901,0.0334961997806155,143.360037066049
150,NaN,0.00161100917422441,0.00539024647550587,0.00552266042554487,0.033323313409624,142.186430097882
200,NaN,0.00133421206698167,NaN,NaN,0.0348310307620434,NaN
250,NaN,NaN,NaN,NaN,0.0354535674673614,NaN
