t,pEpoRpJAK2_Obs,STAT5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.00586268499058551,41.9536890156742,0.000440655394651671,0.013157529970725,0.0120937030678104
10,0.372877973108875,43.4676213174445,NaN,NaN,NaN
15,NaN,NaN,0.000480765756138347,0.0116741276632085,NaN
20,0.140334666288153,NaN,NaN,NaN,0.0148696629018385
25,NaN,39.0503898107261,NaN,NaN,NaN
30,0.0789875910750269,NaN,0.000436379692704435,0.0159856199659417,NaN
35,NaN,51.4107196779758,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.0155859920250108
45,0.0682280986449828,NaN,NaN,0.0184922912978225,NaN
50,NaN,43.6423797943969,0.00108087140714584,NaN,NaN
60,0.0486360212722258,NaN,NaN,NaN,0.0197976183775937
65,NaN,51.4330992161638,0.00205227343650185,0.0160229757433088,NaN
80,0.0522873057672935,NaN,NaN,NaN,NaN
85,NaN,46.6125066730991,0.00288384446008219,0.0180477782891329,0.0180763691638921
100,0.044462847289545,41.4063923889384,0.0030140482180017,0.0159185442801183,0.0177039307662684
150,0.0411632435615678,50.0451900054316,0.00292092557180427,0.0163842403828305,0.0154685990358317
200,NaN,41.9197438402437,0.00191834270468915,0.0142264029195104,0.0136816943419422
250,NaN,NaN,0.00153745943682113,0.0159707220860892,0.0153102080900432
300,NaN,NaN,0.00141777433489227,NaN,0.0147939140059267
