t,pEpoRpJAK2_Obs,STAT5_Obs,CISHnRNA5_Obs,CISHRNA_Obs
0,-0.0171389284994478,39.1258259023466,0.00239105011130344,-0.000513012367219467
5,1.00813159350416,NaN,NaN,NaN
10,0.532416595729551,12.6505736317165,0.000752664690345093,0.00762535127654447
15,0.414524642092141,NaN,NaN,NaN
20,0.317649611670038,12.0948402276477,NaN,NaN
25,NaN,NaN,0.00926581502917693,-0.000576843156808306
30,0.204285561101458,11.4189591271146,NaN,NaN
35,0.16949254634459,NaN,NaN,NaN
40,NaN,NaN,0.0296041636552695,0.0315136547628533
45,0.200356567508852,16.0704596657378,NaN,NaN
55,0.0997902116789608,17.9355189290204,0.052644197232364,0.0553146448990621
70,0.0796096517587294,22.8106342916013,0.0586126734453912,0.0981694944263523
85,0.0785933165584676,29.2658766158106,NaN,NaN
90,NaN,NaN,0.0469545498309437,0.120844319885138
100,NaN,33.9420748019584,0.044676258641753,0.119189776231707
150,NaN,37.573361274656,0.0207774968924699,0.0749505622210411
200,NaN,38.2395281962705,0.0131318741779164,0.04077466480712
