t,pEpoRpJAK2_Obs,STAT5_Obs,CISHnRNA5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.00763597283924436,3.77178551431972,0.000148343757168829,0.000488934189502105,0.000594834851807741,0.000625158329682333
10,NaN,NaN,NaN,NaN,NaN,0.000633956001434477
15,2.06309676071765,NaN,NaN,NaN,NaN,NaN
20,NaN,0.145251072407955,NaN,NaN,0.000548441146894369,0.000566430127033328
30,1.58632490173937,NaN,0.000531677447937839,0.000770353022413774,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,0.000614596877146408
40,NaN,0.296035301032012,NaN,NaN,NaN,NaN
45,1.07162817523707,NaN,NaN,NaN,0.000548376884839924,NaN
50,NaN,NaN,NaN,NaN,NaN,0.000593253697019217
55,NaN,NaN,NaN,0.00107150350813268,NaN,NaN
60,0.828531878071516,0.675052143986712,0.00075015068522696,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,0.000560705109097749
70,NaN,NaN,NaN,NaN,0.000601646806112156,NaN
80,0.865454566663403,NaN,NaN,NaN,NaN,NaN
85,NaN,0.859179132852202,NaN,0.00130162251748058,NaN,0.000554917939540153
90,NaN,NaN,0.000737529870798983,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.000533861779067306,NaN
100,0.636733937943571,0.973373232990893,NaN,0.00132594061456471,NaN,0.000575789051845495
150,0.638714826885343,1.15503612082712,0.000608325874019916,0.00164579563933656,0.000659236886337083,0.000583322823476131
200,0.561491945263139,1.32169100925324,0.000507952424295961,0.00179033899521449,0.000557892521092634,NaN
250,0.633209419231119,1.42698794043414,0.000549339989823425,0.00181811966949704,0.000607741264196271,NaN
300,NaN,1.56998251622352,NaN,0.00178802041464935,NaN,NaN
350,NaN,NaN,0.000548907052989161,0.00152978952686183,NaN,NaN
400,NaN,1.68962906791642,0.000584931391324147,NaN,NaN,NaN
450,NaN,NaN,NaN,0.00175222762768164,NaN,NaN
