t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,74.2084899637651,0.00224714503234459,0.00198773557348247,-0.00415128305252263,0.0141984185412773
8.5,NaN,NaN,NaN,NaN,0.0176956563475255
10,-0.367553656322071,0.00174810749070638,-0.000580793815677149,NaN,NaN
15,NaN,NaN,NaN,0.00139821674808865,NaN
20,-1.49053580040755,NaN,0.0171556991076999,NaN,0.038276796244628
25,NaN,0.0311171100148951,NaN,NaN,0.0471967049266806
35,7.47713376794991,0.0373480297306371,0.0344390904228149,0.065411459831148,NaN
40,NaN,NaN,NaN,NaN,0.0609705986565869
45,13.0289712091309,NaN,0.0355694122197111,NaN,NaN
50,NaN,0.0344500628245762,NaN,0.121337939338036,0.049905181477775
60,20.349653690673,NaN,0.0297053532052248,NaN,NaN
65,NaN,0.0281952297834531,NaN,NaN,0.0462481223967081
70,NaN,NaN,NaN,0.166232488638462,NaN
75,32.3934358938079,NaN,NaN,NaN,NaN
80,NaN,NaN,0.022708427996206,NaN,0.0356646563102936
85,NaN,0.0186091467700375,NaN,NaN,NaN
95,42.6652576617531,NaN,NaN,0.15097258409895,0.0272681665282383
100,40.3012305740901,0.0156255996838049,0.0140966896004385,0.124899274092377,0.0276404393226073
150,44.878920345616,0.0132270663408742,0.0159261764688269,0.0929979970944689,0.0311060128795575
200,39.5569353243622,NaN,NaN,0.0894379543248068,NaN
250,41.6678744546151,NaN,NaN,0.0908446380857327,NaN
300,NaN,NaN,NaN,0.103571005122283,NaN
