t,EpoRJAK2_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_1_Obs,Compound_2_Obs
0,13.6571459925122,0,0.0078628127052274,0.000127469352228732,6.74750941208374e-05,0.092010789325005,0.00990569254686404,0.00941702755384334,0.00580532824438716,0.00899799855849107,0.00617886623702772,3.79828910897021
20,NaN,NaN,4.92186717087546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,6.25194501591402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,0.0253713400235847,0.0188706247939149,2.01634649922883,NaN,NaN,0.029597505135619,NaN,12.2395603075633,1.4480865974474
35,2.49383927315293,NaN,NaN,NaN,NaN,NaN,NaN,0.032481124793633,NaN,0.0502639956036882,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.0339213064494197,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,12.5065067521678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,82.5712362467747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,0.0203829699974198,NaN,NaN,NaN,NaN,NaN,NaN,14.5183070052998,4.20641409945089
65,NaN,NaN,NaN,NaN,0.127404302092034,8.69121335256058,NaN,NaN,0.0203538326011524,NaN,NaN,NaN
70,7.57106020441248,NaN,5.35709239498257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0189690964575523,NaN,0.0256806427862283,NaN,NaN
80,NaN,11.5358816074295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.0137106041831618,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0187159994659987,NaN,NaN,NaN,NaN,NaN,NaN,9.50872414126011,8.86823720662612
95,NaN,NaN,0.90163991124769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1.01268257117672,6.06491581690928,NaN,NaN,0.00823024603796968,14.6115936416737,NaN,0.0172621475536321,0.0207575201874134,0.00801488861901874,NaN,NaN
150,3.36576937913326,8.93739941793134,6.50789157059045,0.0215184301843319,0.0172634274489306,10.6993842776658,0.0285778295660095,0.0133588776056092,0.0609991326936243,0.00949901998892315,8.28494683761992,5.82030381800359
200,2.91311812892368,2.50921187724966,1.09801011045039,0.0146773437086218,0.0187737878042521,24.5439164946206,0.0226084311846217,0.0140872140956904,0.00645701997792755,0.0222672207295961,6.34827558711459,1.75154619342371
250,1.31407401400178,1.91088339803123,2.74005923172545,0.00467435311063314,0.0103088642356555,NaN,0.0494569743250746,NaN,0.0383320376347276,NaN,5.22311661516307,NaN
300,3.1930412828655,3.366956332215,3.675997432184,NaN,0.0291283439908347,12.2472824247383,0.00674412932012186,0.0263356843187014,0.00484641496124166,0.00901381692383762,7.71363548581169,3.26222797130502
350,NaN,NaN,0.916068492827756,0.00385051683690043,NaN,12.0619670800555,0.0246421617928303,0.0166619729480559,0.0220588461548985,0.0192044178030304,NaN,6.27502686523498
400,NaN,4.24184192772827,NaN,0.00879192213690509,0.00788140158527207,34.6403828427486,NaN,NaN,NaN,NaN,1.24420704540929,NaN
450,NaN,2.61681406633524,NaN,NaN,NaN,NaN,0.0135267652563017,0.00711933574372413,0.0179846413704713,0.0521163385682035,6.42441469958128,1.44410736869262
500,NaN,NaN,NaN,NaN,NaN,8.78077046377299,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,0.0207416447636892,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,4.91595922033919,NaN,NaN,NaN,NaN,NaN,NaN
