t,epo_level,CISHnRNA4_Obs
20,2.5e-09,0.0248712569514953
20,2.5e-09,0.000651377157182767
20,2.5e-09,0.00240821226702428
20,7.905e-09,0.00732102854280731
20,7.905e-09,0.00227979647786109
20,7.905e-09,0.0291748161603555
20,1.25e-08,0.0476539297925798
20,1.25e-08,0.0543942650952175
20,1.25e-08,0.0498736155102678
20,1.75e-08,0.0403050298749651
20,2.5e-08,0.03843742503034
20,3.95e-08,0.0397756790693152
20,7.9e-08,0.00806249228889093
20,7.9e-08,-8.89174547931513e-05
20,7.9e-08,0.00094485494627224
20,1.25e-07,-0.00130912007490155
20,1.7675e-07,0.0100975782492053
20,2.5e-07,0.0476651752262331
20,2.5e-07,-0.0034495685871501
20,2.5e-07,-0.00213455214711451
20,7.905e-07,-0.000923425100021601
20,2.5e-06,0.0212435143205954
20,2.5e-06,0.0213576416585978
20,2.5e-06,0.0198007400088751
