t,CISHnRNA3_Obs,Compound_4_Obs,Compound_9_Obs
0,0.000144715635631963,-0.0455450253801877,5.33500232718666
10,NaN,0.55612322986671,NaN
20,NaN,0.904166290954957,NaN
25,0.00133170419822275,NaN,5.53465274277601
35,NaN,1.10653963128344,NaN
45,NaN,1.37175588480087,NaN
50,0.00195304454638947,NaN,5.07877653289354
60,NaN,1.35800863588015,NaN
75,NaN,1.41118650530245,NaN
80,0.00195021219183936,NaN,5.24203215911438
95,NaN,1.45284649726259,NaN
100,0.00196234421376027,1.47448442877192,5.2980975075153
150,0.00177316067254212,1.53287392246277,5.33974149260466
200,0.00155127273048559,NaN,5.1894207745384
250,0.00137680694391787,NaN,5.09130744430512
300,0.00132359467569578,NaN,5.05630106574262
350,0.00135655251868523,NaN,5.05297271268367
400,0.00134189167798768,NaN,NaN
450,NaN,NaN,5.3653007645931
