t,CISHnRNA1_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs
0,0.156625392858586,-0.178217424920768,-0.196922685708574
4,NaN,NaN,-0.207247672373013
5.5,NaN,-0.0853398084428081,NaN
6.5,-0.202162321721292,NaN,NaN
8,NaN,NaN,-0.243095159932933
10,NaN,-0.161242488357645,0.0952363531352488
15,-0.0309324322524275,NaN,-0.172320368784238
20,0.245490041895272,0.136586084092192,NaN
25,NaN,-0.121274452517398,-0.00380936003875207
30,0.0528100694837365,NaN,-0.180636270526705
35,NaN,0.0909267299630684,NaN
40,0.135966751186333,-0.182065708165544,NaN
