t,STAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,74.8240880356407,-0.00466091471220289,-0.272668751368184,0.0065506862254085,0.0101452761817281,6.40547494724574
7.5,NaN,NaN,NaN,NaN,0.0122534363904916,NaN
8,29.1803677336406,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.00278816282879995,NaN,NaN
9.5,NaN,NaN,1.22539241441116,NaN,NaN,4.50889352836726
10,NaN,-0.0248945500192476,NaN,NaN,NaN,NaN
15,10.6640948046295,NaN,NaN,0.0113032447273691,0.0146618939397958,NaN
20,NaN,0.0129205947104284,-1.86037279395282,NaN,NaN,9.43599646831701
25,19.3028508192042,NaN,NaN,0.0368342606619091,0.0254845111290068,NaN
30,NaN,NaN,0.422266959741342,NaN,0.036670130554645,9.53717989900756
35,31.2795271853444,0.0675372096184149,NaN,0.0419622094789405,NaN,NaN
40,NaN,NaN,4.44141010137995,NaN,0.0345664575922371,17.2743513721994
45,38.0506105706222,0.138576724061984,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,0.0402093674843667,0.0474655601646216,20.5227595180877
55,34.6163484518872,NaN,8.9336104055073,NaN,NaN,NaN
60,NaN,0.173953491600737,NaN,0.0440332658521382,NaN,NaN
65,NaN,NaN,14.0573525876498,NaN,0.0461378006221088,26.0117155228039
70,32.8628474076305,NaN,NaN,NaN,NaN,NaN
75,NaN,0.163326983402918,NaN,0.0410689220319457,0.0366747426978544,NaN
80,NaN,NaN,NaN,NaN,NaN,23.5453399310868
85,40.6589060789258,NaN,18.691400465056,NaN,NaN,NaN
95,NaN,0.11235795166825,NaN,0.0239226211449417,0.0300483829097599,NaN
100,57.7290839511179,0.112771593998238,22.1897954516667,0.0293601186519849,0.0336900647282218,24.1232660606526
150,65.9291048240352,0.0426786184490293,21.0045876186094,0.0180368530907165,0.0142767822766499,11.0405001246313
200,NaN,0.0300647637202115,19.0652261128299,NaN,NaN,9.73325595464459
