t,EpoRJAK2_Obs,pEpoRpJAK2_Obs
0,4.7307695785506,0.0791281478025076
6.5,NaN,2.60680404041289
7,1.98933345758839,NaN
15,3.08119059353776,1.4596230983096
20,3.75427147786881,1.22665442625183
30,3.16098213645582,0.969925966153854
35,NaN,0.878643122641284
40,3.85573384601782,NaN
45,NaN,0.778801283285283
50,3.68058298971992,NaN
60,4.18315139926955,0.552547363507642
70,4.39367023118084,0.531182838016313
85,NaN,0.483760156803419
90,4.20641550397833,NaN
100,3.80820653773046,0.662639964426113
150,3.95927389887861,0.584739671286719
