t,Compound_1_Obs,Compound_3_Obs,Compound_6_Obs
0,-0.259988401584882,-0.00101497354211308,-0.00283633665088553
10,0.676742316906862,NaN,0.000984155469700338
15,NaN,0.0118004592175934,NaN
20,2.65613988294381,NaN,NaN
25,NaN,0.0208647055993713,0.0257408796394813
30,3.74453556713715,NaN,NaN
35,NaN,NaN,0.0408846156672252
40,4.54017616359606,0.0283848100037378,NaN
50,NaN,NaN,0.0483936306426659
55,4.13508333330045,0.0283279795661169,NaN
65,NaN,NaN,0.0653105690527212
70,3.9067470248744,0.0235297583850436,NaN
80,NaN,NaN,0.0520364885077626
85,3.47536559108179,NaN,NaN
90,NaN,0.0210115383517233,NaN
100,3.31497963283455,0.0212158381904804,0.0462997086989846
150,1.9028493097732,0.0129743531142048,0.0331407334073776
200,1.44398656203851,0.0103957057950131,0.027371748062064
