t,p_IL13_Rec_i_Obs,JAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs
0,0.152040888803956,2.6364065277738,154.870886928179,-515.871951270971
10,0.318780536712852,0.645399154657113,190.764219278461,-840.962265000491
20,0.662850581466366,NaN,NaN,705.311871547714
25,NaN,0.727161692313995,44.0684704872105,NaN
35,0.720169354952086,NaN,75.8394384681875,133.002965983104
40,NaN,0.0483469038522167,NaN,NaN
45,0.523568420064018,NaN,NaN,-798.567843598977
50,NaN,NaN,95.8544889089822,NaN
55,NaN,0.777717381199611,NaN,NaN
60,0.516760315787588,NaN,NaN,1234.56562557598
65,NaN,NaN,60.1673807112141,NaN
70,0.410987046036498,0.698213250598531,NaN,NaN
75,NaN,NaN,NaN,1652.92741722275
80,NaN,NaN,116.689520366106,NaN
90,0.864267326838954,1.32899251664584,NaN,1605.95304111366
100,0.873816299735419,0.872929176385777,16.366047297467,1624.34399035342
150,0.597054587345461,1.83311964235345,64.1836993287644,1333.30127214385
200,0.426613288681965,1.47041071123845,140.067495936551,2901.12330889049
250,0.584211231152668,1.96974398385771,68.7654572520071,3816.02542844147
300,0.444773079793706,NaN,97.0558984471421,4795.76141020305
