t,IL13_Rec_Obs,p_IL13_Rec_Obs,JAK2_Obs,SOCS3_Obs
0,-1.01718887803386e-06,0.00597942049210985,2.77974373496399,2.08592140826794
10,NaN,NaN,0.577377017565698,NaN
15,7.71562922573689e-05,0.282547440138082,NaN,34.460428669345
25,NaN,0.271731910925141,0.466779355613627,21.9147506363657
30,8.27026328376389e-05,NaN,NaN,NaN
40,NaN,0.252162831347277,0.847804428633841,143.957015091481
50,9.23521856969966e-05,NaN,1.06581564073173,NaN
55,NaN,0.286477119605347,NaN,236.498592144583
65,0.000117517024428285,NaN,NaN,NaN
70,NaN,NaN,1.22700788435753,360.939467466797
75,NaN,0.256795579368428,NaN,NaN
85,NaN,NaN,1.47600359699976,NaN
90,0.000135449262283388,0.26697302096729,NaN,394.208516213669
100,0.000142621717760872,0.260758461504943,1.60933539205768,458.122663071277
150,0.000187001005656646,0.266022504602132,1.95146985017501,505.869389051666
200,0.000220142576758673,0.237475081047005,2.0955388610764,586.926532641125
250,0.00024922773241217,0.204799279224325,2.37795468290021,660.095490573484
300,0.00025140746079479,0.215635116625673,NaN,589.2983580715
