t,Rec_Obs,IL13_DecoyR_Obs,CD274mRNA_Obs,Rec_i_Obs
0,1.13720324273384,-0.198835117858899,-0.0227671645493113,429.841384674397
3,2.76037239828669,NaN,0.0785462143571782,NaN
3.5,NaN,NaN,NaN,412.805538419544
4,NaN,-0.0446576076804178,NaN,NaN
6.5,2.58673458763359,NaN,0.0347997928596005,NaN
7.5,NaN,NaN,NaN,424.167379986111
9,NaN,-0.105488186834318,NaN,NaN
10,2.15021458334644,NaN,0.411770603739319,565.635321899461
15,3.05805655496039,0.0274521720094418,-0.0720522644386097,461.363312155646
20,2.64213596408921,0.353470615890567,-0.16607615278455,566.566812499509
25,3.2398029658638,0.135142071203724,0.193881456748479,NaN
30,2.73203548801827,NaN,-0.0213378567475456,334.191023244783
35,NaN,0.0254928222238775,NaN,NaN
