t,pSTAT5_Obs,Compound_1_Obs
0,-2.19116074144141,-246.231520772613
10,18.0719556031347,-27.8192671354302
25,64.5466759285621,78.3632423642683
35,62.023392618107,184.777014074915
50,69.5771725508821,357.309615026178
65,73.5005323068737,371.228728480658
80,66.8780712158807,NaN
85,NaN,560.086878435519
95,62.8289642555495,NaN
100,61.7778820257781,787.598090486764
150,50.702726871583,1178.03122726875
200,41.7564081678211,1432.23109678134
250,38.6045138002473,1648.47575805774
300,43.1260966367821,1889.94854327888
