t,Compound_1_Obs,Compound_3_Obs
0,39.2599628969774,2.00588163830793
5,49.811505681406,NaN
8.5,NaN,15.4667549853563
10,49.4914820502877,NaN
15,33.9511965164665,24.8217871442692
20,42.7624108402568,NaN
25,49.6753367558525,23.7955525083835
35,45.0219474150292,46.2041840711791
40,44.5346286928471,NaN
45,NaN,46.2828610716714
50,32.888842434452,NaN
60,43.522774372277,56.4526872090537
70,44.0814655001945,73.3775565339764
85,39.278733216901,NaN
90,NaN,70.8648304010246
100,43.1672225651248,91.0837259172066
150,NaN,143.305883760416
200,NaN,207.77973222426
