t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,122.817531118978,106.779238600311,0,0
7.5,41.3603967540129,NaN,NaN,NaN
8.5,NaN,NaN,10.8945064688026,NaN
9,NaN,NaN,NaN,4.35160344296915
10,NaN,49.1016982932693,NaN,NaN
15,25.5781410865153,NaN,14.3999309819633,NaN
20,NaN,44.3574720497887,NaN,7.2932166316562
25,38.166460867904,NaN,17.9788260194311,NaN
30,34.6520216625761,NaN,NaN,8.06943800321841
35,NaN,60.2364177354931,25.9892207738588,NaN
40,44.1835699500749,NaN,NaN,12.563127267291
45,NaN,51.4772979419039,23.7031439912903,NaN
50,34.5727606338209,NaN,NaN,16.6324220520461
60,41.1215884871275,57.00747455533,21.9493630391274,15.485457990526
70,35.8004831986986,NaN,19.6564414085857,NaN
75,NaN,100.47582586866,NaN,28.1156710774689
85,42.7812971727406,NaN,NaN,NaN
90,NaN,NaN,17.733881160713,23.7850237512492
95,NaN,107.913399581931,NaN,NaN
100,41.5264269392268,87.7713848118544,20.0626756899682,26.6286454889636
150,62.1385846237002,101.099086356515,21.4088844161813,38.5477845580304
200,62.7786899718842,148.236941585968,18.0320471910531,48.3623781877966
