t,IR1in_Obs,Compound_1_Obs,Compound_2_Obs
0,0.024305169767707,0.0268744013511076,0.00390055542105893
8.5,NaN,NaN,-0.0331595275943748
9,NaN,-0.0279758912235495,NaN
10,-0.0536593136809385,NaN,NaN
15,NaN,NaN,-0.0334673080163316
20,0.0454101430738171,-0.00407215278064896,NaN
25,NaN,NaN,-0.0308485075009891
30,-0.00271611571744773,-0.0032056480478821,NaN
35,NaN,NaN,0.0155961575092773
40,0.0334886574243483,-0.00837733620096419,NaN
45,NaN,NaN,-0.0192790812727529
50,NaN,-0.0502419245726711,NaN
55,0.0230207750698222,NaN,0.0280690211453588
60,NaN,0.0166052857802765,NaN
70,0.0688928931948652,NaN,0.0395328933723253
75,NaN,-0.001763303922965,NaN
80,NaN,NaN,0.0294243285724012
85,-0.0402737968859649,NaN,NaN
90,NaN,0.0506083322912406,NaN
100,0.032239810105616,-0.00620168209363255,0.0279019813822004
150,-0.040858247178125,-0.00166574435392363,0.0297423079153147
200,0.0371442456719775,-0.00378226563960196,-0.028355090494422
