t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR2_Obs,IR1in_Obs
0,10.231064491884,74.8801181379883,2709.03581298237,-0.0168371854994741,-0.00432759539803135
4,1.15106092455748,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,0.871354206842359,NaN
8,0.495468738480263,NaN,NaN,NaN,NaN
9.5,NaN,NaN,2518.65901829747,0.409555572438613,NaN
10,NaN,85.3596206362537,NaN,NaN,0.0867422206894682
15,0.424993151856313,NaN,NaN,0.273388798995894,NaN
20,NaN,95.569194757639,2010.81716883529,0.220986085272224,0.0843713833304957
25,0.123129219322321,NaN,NaN,0.209291289746677,NaN
30,0.0676352121014556,95.534814052247,2495.204528437,NaN,0.0631410078260775
35,0.139125519755907,NaN,NaN,0.179595695670318,NaN
40,NaN,NaN,2644.86184355964,0.186061608089497,NaN
45,0.0836626056968338,95.7028882068981,NaN,NaN,0.0443445291826343
50,NaN,NaN,3084.64219505687,0.173391996830299,NaN
55,0.060263276901966,93.3873023347209,NaN,NaN,0.0534035636972751
60,NaN,NaN,NaN,0.157887190615768,NaN
65,0.111796222388142,NaN,2430.88333770401,NaN,NaN
70,NaN,94.3118843911598,NaN,NaN,0.0422027191538908
75,NaN,NaN,2034.40342327832,0.144251293982034,NaN
85,NaN,99.1892704423004,NaN,NaN,NaN
90,NaN,NaN,2067.71049141202,NaN,0.027710143823501
100,NaN,82.9896100186974,2618.98116814034,NaN,0.0304627279455076
150,NaN,83.8286434692741,2240.81468516636,NaN,0.0208959676738981
200,NaN,74.329089024225,2466.46680315387,NaN,0.0272845734745233
