t,Ins_Obs,Uptake1_Obs,BoundUnspec_Obs
0,0.0592401013773211,1.90102806094214e-05,0
5.5,0.0191503668592182,0.00119583865389375,NaN
7,NaN,NaN,0.0355300984976209
10,0.0179499521155463,0.0012425725960689,NaN
15,0.00920131035988491,0.00148104537757539,0.00984863919986478
20,NaN,NaN,0.0209120962481792
25,0.0110513821942118,0.00181477661162667,NaN
30,0.00550920166959511,0.00243410458468508,0.00819869995049662
35,0.00692218869782842,NaN,NaN
40,NaN,0.00224736489296227,0.00470059157081286
45,0.00633355975326309,NaN,NaN
50,NaN,0.00129817921802987,0.00854236210524566
55,0.00395192245547946,NaN,NaN
60,NaN,NaN,0.0057325371641312
65,NaN,0.00213895699754058,NaN
70,0.00342756832998629,NaN,NaN
75,NaN,NaN,0.00381199503342084
85,0.00347137848988536,NaN,NaN
90,NaN,NaN,0.00371725073012517
100,NaN,NaN,0.00339293119802309
