t,IR2in_Obs,Compound_1_Obs
0,0.0106831478884014,879.098672583784
10,2.13779006764589,722.927291139364
20,2.97106998533257,NaN
25,NaN,847.071138657343
30,2.25602525224916,NaN
35,NaN,1012.00767178322
40,2.92168927285515,NaN
50,NaN,642.51022252202
55,3.08414934743094,NaN
60,NaN,842.444392203906
70,3.04133009652939,NaN
80,NaN,943.540689859837
85,2.55571679458856,NaN
95,NaN,712.397060615439
100,2.00229353083723,1021.26589077614
150,1.45193014259971,960.726719948428
200,0.867453874193875,853.308239457116
