t,Rec2_Obs,IR2_Obs,IR2in_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs,BoundUnspec_Obs
0,922.546422268077,0,0.114047147899237,0.0111069937542401,0,0,0.106570880832155
5,NaN,6.83608987978557,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,61.4431195280686
9.5,NaN,NaN,NaN,NaN,NaN,2.29728953351915,NaN
10,716.286140609599,8.99093807641153,23.2188161660078,1.32416316002574,29.405436888202,NaN,NaN
15,NaN,6.27257490606869,NaN,NaN,NaN,NaN,57.3694482593475
20,1059.71274106145,5.59474294611747,34.0489453722059,1.32228740025962,42.8859241842086,11.4056194729924,49.4662891104932
25,NaN,NaN,NaN,NaN,NaN,NaN,40.4901987582177
30,923.997888581701,4.90944116276353,33.3912873408594,1.16817162367482,58.726905727978,12.8303736895679,NaN
35,NaN,5.76953019287858,NaN,NaN,NaN,NaN,47.6100846061745
40,NaN,NaN,28.3782904111877,1.50479548758476,56.3025389652133,21.795201066805,29.3034353821612
45,825.657140665753,3.79903287816401,NaN,NaN,NaN,NaN,NaN
50,NaN,5.66451602781356,NaN,NaN,NaN,16.6999624476628,42.2966797481692
55,761.380181685404,NaN,31.0135484490927,2.38250446948242,57.7738084936198,NaN,NaN
60,NaN,4.39285967768934,NaN,NaN,NaN,NaN,34.9929512935071
65,NaN,NaN,NaN,NaN,56.0938758102825,22.9577291056801,NaN
70,850.838054637318,NaN,20.1717163203944,2.13642808099462,NaN,NaN,NaN
75,NaN,3.70514858441322,NaN,NaN,NaN,NaN,38.077239458422
80,NaN,NaN,NaN,NaN,NaN,42.9874098734311,NaN
85,696.757561224778,3.36829349710476,13.0732105016152,2.24371711844161,51.4412859477293,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,23.4842843810612
100,742.635030321421,2.87280062904894,18.3587264154803,2.30275130733102,61.0469477006374,35.145323831034,26.4575597073977
150,814.362166893377,NaN,11.0116817498278,3.10808213057491,69.1455596020266,48.598602952704,12.3885893185647
200,972.926099721432,NaN,10.6495728593211,3.11284182763357,80.5358551895666,90.5945150632587,NaN
