t,IR1in_Obs,Uptake1_Obs
0,0.010064840769994,-0.266371682271972
9,0.460340372923821,NaN
10,NaN,0.4032920849518
20,0.500661596732357,0.867185017532749
25,0.519797575924616,NaN
35,0.539918109982834,0.533174501992185
45,NaN,0.998533162732439
50,0.484382084383529,NaN
60,0.657190754510636,1.02629912601178
75,0.58220865059384,NaN
80,NaN,1.13465536573618
90,0.598621045518987,NaN
95,NaN,1.06623765966676
100,0.626106328214892,1.08480891730553
150,0.720042894238763,1.13629109948278
200,0.44615336860487,1.18682289977573
