t,Ins_Obs,IR1in_Obs,Compound_1_Obs
0,8.87824930590777,0.0520634390454338,78.5875373257673
3,0.634114225135511,NaN,NaN
6,1.71281680060243,NaN,NaN
9,NaN,NaN,54.111904633475
9.5,1.17439863610352,0.0212148147737682,NaN
15,3.01829324545732,NaN,NaN
20,0.347555432904999,0.0578809891036454,64.1383813406614
25,0.946308977424442,NaN,78.8742278188443
30,0.581332452690944,0.0894511413924942,NaN
35,NaN,NaN,67.3320221051445
40,2.54217795511682,0.126554632605612,NaN
50,0.7798025055104,NaN,100.191238546502
55,NaN,0.0962349125493241,NaN
60,NaN,NaN,105.061670532488
65,NaN,0.11592945326189,NaN
75,NaN,NaN,116.487965224045
80,NaN,0.100653609957746,NaN
90,NaN,NaN,98.1846233609739
100,NaN,0.066030096148297,26.1881125506609
150,NaN,0.145614448254007,107.132310482421
200,NaN,0.0747080724334158,78.9402631362455
