t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,Uptake1_Obs,Uptake2_Obs
0,101.634631208364,70.2653390053593,2445.04556593361,0.0139364313101709,-0.323962881303867,-8.36774362270861
3,20.1096812168478,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,0.675295679173261,NaN,NaN
6.5,9.35408982612448,NaN,NaN,NaN,NaN,91.3688421902191
7.5,NaN,NaN,NaN,NaN,2.73124674388544,NaN
8,NaN,NaN,3058.61752894486,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.374062948717487,NaN,NaN
9.5,NaN,65.4288661573119,NaN,NaN,NaN,NaN
10,15.01820905161,NaN,NaN,NaN,NaN,NaN
15,8.61287417361482,NaN,2158.24560587877,0.111803447966095,2.52224066679928,81.8938140324217
20,7.63248586365354,82.5778454799549,NaN,0.165450096234729,NaN,52.9734267780333
25,1.60435120993845,NaN,2765.28254341709,0.177229771457926,2.68019565994994,NaN
30,NaN,90.8112115078619,NaN,0.12633382583597,2.0313774962372,90.5553444882956
35,2.11841473088312,NaN,2203.72948672313,0.161164344483395,NaN,60.8217565606247
40,6.7848146473447,104.79788860237,NaN,NaN,1.67782616170375,NaN
45,NaN,NaN,2506.67489028773,0.136030698459855,NaN,105.146729542434
50,2.99435458471428,91.4990697845141,NaN,NaN,1.84346785957385,NaN
55,NaN,NaN,3170.05495083221,0.0791830099665377,NaN,71.7214101814127
60,7.17064744373622,NaN,NaN,NaN,NaN,NaN
65,NaN,83.2444329009736,3106.79498302563,0.157566909656767,1.94511200695685,NaN
70,NaN,NaN,NaN,NaN,NaN,104.67054938776
75,NaN,NaN,2322.24889484184,0.0940163802634551,1.69762609533928,NaN
80,NaN,116.586561709104,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,92.0516683404179
90,NaN,NaN,2157.60048903371,NaN,0.723633606560209,NaN
95,NaN,130.02743028254,NaN,NaN,NaN,NaN
100,NaN,83.2238740798435,2167.46037124936,NaN,1.77379213620964,78.2026365648751
150,NaN,97.5002493627458,3087.29204408713,NaN,1.5638988368493,62.911769910729
200,NaN,88.3834979938078,2465.95800215442,NaN,NaN,NaN
