t,IR1_Obs,Uptake1_Obs
0,0.109713101441673,-2.12457511542841
4.5,5.32927984172195,NaN
7.5,NaN,27.1436904152133
9,3.11164729334686,NaN
15,2.08839035755717,24.6202857424405
20,1.06333222329559,NaN
25,2.18529183273572,20.5952780663808
30,1.82449893377238,25.2958707164245
40,1.61499668467862,21.1298727168438
45,1.12547812729987,NaN
50,NaN,14.4877600687178
55,0.623704984570746,NaN
65,1.1191282442218,21.4870583608824
75,NaN,18.7012836080322
80,1.04170330787901,NaN
95,NaN,17.5304966404897
100,NaN,23.9584300416207
150,NaN,18.4284671287021
