t,Rec2_Obs,Compound_1_Obs,Compound_2_Obs
0,580.622788906459,-0.00072806154308452,0.0192193686378245
3.5,703.705563154923,NaN,NaN
8,295.157978904745,NaN,NaN
10,740.128090025171,-0.00406076269236957,0.0196559164381016
15,459.537359049479,NaN,NaN
25,493.233489954366,0.00929653123074198,0.0519497810774415
30,173.208000945974,NaN,NaN
35,NaN,0.0205884818472605,0.04399222127319
50,NaN,0.0133373517418849,0.0870331917056605
65,NaN,0.0141271632007835,0.0463348032414705
80,NaN,0.0340153253006324,0.0491615236217612
100,NaN,0.053727776793258,0.0560703234704244
150,NaN,0.0594385050368186,0.0634132107591162
200,NaN,0.0794016175343768,0.082991560872224
