t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.0029657366084,0.000100595997509925,0,0.000796887879335712
0.095,0.239923912650396,NaN,NaN,NaN
0.2,0.0933484050790427,NaN,NaN,NaN
0.3,0.162009908371715,0.111118553926789,NaN,NaN
0.35,NaN,NaN,0.598069190327085,NaN
0.4,NaN,NaN,NaN,0.238778418464073
0.45,0.010900812820864,NaN,NaN,NaN
0.55,NaN,0.0959179300158531,NaN,NaN
0.6,0.00442506628285565,NaN,NaN,NaN
0.65,NaN,NaN,0.310644936285048,NaN
0.75,0.0007833388548197,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.291494179577846
0.85,NaN,0.065649571566749,NaN,NaN
1,0.000143671418090066,0.103086785144752,0.450561171971631,NaN
1.5,NaN,0.12245340735322,0.67532453062499,0.450786527958949
2,NaN,0.0431922442598993,0.475779443610978,NaN
2.5,NaN,0.126342465994933,0.467675203141415,0.248034337429385
3,NaN,0.0368066728537119,0.260451113545383,0.770079318614609
3.5,NaN,NaN,1.1810661748009,0.48629697748974
4,NaN,0.0731140265802193,NaN,NaN
4.5,NaN,NaN,0.487301926630284,0.442405971387125
5.5,NaN,NaN,0.398397192630811,1.45469238265964
6.5,NaN,NaN,NaN,0.304218364521208
