t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00422946809792513,1.02565242856954,2.78928582068888e-09,-0.0176493402548697,0.0022384904546726,0.00145404552917998
0.1,NaN,0.0241988987966541,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,0.322169024982654,NaN
0.2,0.206652118258708,-0.00106218243049843,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,0.580412413510066,NaN,NaN
0.3,NaN,0.000708921283050345,NaN,NaN,NaN,0.0295783345875587
0.35,NaN,NaN,2.13934414302009e-07,NaN,0.148003530373223,NaN
0.4,0.110450108480234,NaN,NaN,NaN,NaN,NaN
0.45,NaN,-0.0179569361427269,NaN,0.754448336095285,NaN,NaN
0.55,NaN,NaN,NaN,NaN,0.117312775920596,NaN
0.6,0.0739418471164442,0.00021815768788857,NaN,NaN,NaN,NaN
0.65,NaN,NaN,1.41166100498618e-07,NaN,NaN,0.0323661659320124
0.75,NaN,NaN,NaN,0.646096937296922,0.12863017517143,NaN
0.8,0.0912781399430742,0.000196783600405395,NaN,NaN,NaN,NaN
1,0.079122124601015,-0.00133828048664526,8.09930726373702e-08,0.782889982665836,0.116387338031879,0.030700807347602
1.5,0.0778230393404529,NaN,4.32394934157077e-08,0.766163232902446,0.0998321845640385,0.0389136577734443
2,0.0751103990814719,NaN,1.27779498426363e-08,0.758194208407627,0.104038684833979,0.0253835032965507
2.5,0.0823209460116022,NaN,1.23713053540026e-08,NaN,0.107354830217179,0.0292864359828799
3,0.0838687531753464,NaN,1.92764706313674e-09,NaN,0.100467714520792,0.0309874325811458
3.5,0.0787252196772235,NaN,9.17292114801278e-10,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,0.0347148492710352
4.5,NaN,NaN,3.72334765026718e-09,NaN,NaN,0.0261687641518017
5.5,NaN,NaN,8.76889168105876e-10,NaN,NaN,NaN
