t,IPR_R_Obs,IPR_I1_Obs,IPR_A_Obs
0,1.02878136074985,1.18788613445132e-10,0
0.085,0.00424789994975518,NaN,NaN
0.1,NaN,NaN,1.04810874626996
0.15,0.00192361770399055,2.20397575015444e-07,NaN
0.25,0.000731032396234646,NaN,0.8418270559259
0.3,NaN,5.40031976026328e-07,NaN
0.35,NaN,NaN,0.467515945514939
0.4,0.00274848423756693,NaN,NaN
0.45,NaN,2.90241583602689e-07,NaN
0.5,0.000875828631437847,NaN,0.515014208006811
0.6,NaN,5.80055298580079e-08,NaN
0.65,0.000796487871419602,NaN,0.479056480665435
0.8,0.000666565213050181,6.91631844193859e-08,NaN
0.85,NaN,NaN,0.486585542082457
1,0.00110504561989481,4.69094504862374e-08,0.745443198911995
1.5,NaN,1.29834876046637e-08,1.03095385757906
2,NaN,9.32283582537972e-09,0.565374239128692
2.5,NaN,1.1170179459962e-09,NaN
