t,IPR_O_Obs,IPR_I1_Obs
0,-0.00160631265195352,-2.33684781091996e-09
0.15,0.119517519500257,NaN
0.25,NaN,2.02461171375326e-07
0.35,0.0788734377317005,NaN
0.55,0.0738447709555911,1.30623825473643e-07
0.75,0.0669747964882884,NaN
0.85,NaN,7.67337959742643e-08
1,0.06212890798226,5.82177001755521e-08
1.5,0.0725625836935537,3.48353850570556e-08
2,0.0729430595540586,1.41749055561828e-08
2.5,0.0734333194337867,3.35100649905481e-09
3,NaN,2.16269132003738e-09
3.5,NaN,3.10794289654299e-09
4,NaN,-4.21748092037805e-11
5,NaN,8.37777844155853e-09
