t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,-4.79497719726482e-09,0.0602024494759849,0.938829313954183
0.1,NaN,0.909343601580706,NaN
0.2,NaN,1.08777094012611,NaN
0.3,1.96616947722675e-07,1.1613483456155,0.807685393237242
0.45,NaN,0.838761891812499,NaN
0.6,1.37349696573001e-07,1.06548070641899,NaN
0.65,NaN,NaN,0.520396192737582
0.8,NaN,0.860451668298806,NaN
0.9,8.73871734430748e-08,NaN,NaN
1,NaN,1.05829511145513,0.578096242126498
1.5,3.89268638805731e-08,NaN,0.445621115142968
2,2.07693416068549e-08,NaN,0.536024506142911
2.5,5.27163919868825e-09,NaN,0.511801793073626
3,1.82045620644882e-09,NaN,0.505933730184078
4,-1.2399756847837e-09,NaN,NaN
5,1.14012553852849e-09,NaN,NaN
