t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.661183194501194,1.1634695548153e-10,1.0961113021736e-05,0,0
0.08,0.186646848265,NaN,NaN,NaN,NaN
0.15,0.0526583370028561,NaN,NaN,NaN,NaN
0.2,NaN,NaN,NaN,1.03645755859621,0.1790475005954
0.25,0.0101589661920832,NaN,NaN,NaN,NaN
0.3,NaN,1.70093263233219e-07,NaN,NaN,NaN
0.35,0.00232897567170561,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.709825929595437,0.538425487449423
0.5,0.0009837226937058,NaN,NaN,NaN,NaN
0.6,NaN,1.25945755240985e-07,NaN,0.666492454821046,0.548188866694639
0.65,0.000683484066733633,NaN,NaN,NaN,NaN
0.8,0.000999614535017482,NaN,NaN,NaN,0.526760475734778
0.85,NaN,NaN,NaN,0.514303121468736,NaN
0.9,NaN,1.38571704951856e-07,NaN,NaN,NaN
1,NaN,7.29423965471864e-08,NaN,0.38794888786036,0.399750514672323
1.5,NaN,6.5176067493292e-08,NaN,0.266593394304589,0.492527841013323
2,NaN,2.98182326747177e-08,NaN,0.462620590628866,0.506567987165847
2.5,NaN,1.68934200733103e-08,NaN,0.516648326810147,0.608219660324217
3,NaN,8.02410447706346e-09,NaN,0.48292470042637,0.766157271633976
3.5,NaN,5.73923845879683e-09,0.00695426585732846,0.521111461453875,0.556271526793091
4.5,NaN,1.73831826136428e-09,NaN,NaN,NaN
5.5,NaN,6.53167487412157e-10,NaN,NaN,NaN
7.5,NaN,NaN,0.00511847469865512,NaN,NaN
10,NaN,NaN,0.00322159603427239,NaN,NaN
15,NaN,NaN,0.00430768569004929,NaN,NaN
