t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,0.00020018298573655,1.00188696172372,3.69269047171441e-11,0.0597505908894462
0.09,NaN,0.0256045111999974,NaN,NaN
0.1,NaN,NaN,NaN,0.285940687741507
0.15,0.0066226084880191,NaN,NaN,NaN
0.2,NaN,-0.0343536994469641,NaN,NaN
0.25,NaN,NaN,NaN,0.496781662626994
0.3,0.00465163674339765,-0.00867199909068652,NaN,NaN
0.4,NaN,-0.027467769165956,NaN,0.6281139844208
0.5,0.00555073645512351,0.0109062341124336,NaN,NaN
0.55,NaN,NaN,NaN,0.472145409229638
0.65,0.00548598960053087,0.0433721526939654,NaN,NaN
0.7,NaN,NaN,NaN,0.554299976607281
0.8,NaN,-0.0231722935557543,NaN,NaN
0.85,0.00411206863801601,NaN,NaN,NaN
0.9,NaN,NaN,NaN,0.636912312624833
1,0.00445553727194527,-0.0137159556608058,NaN,0.715695307108376
1.5,0.0034248233307498,NaN,NaN,NaN
2,0.00470139649227825,NaN,5.79809644005016e-09,NaN
2.5,0.00416295066014937,NaN,NaN,NaN
4.5,NaN,NaN,-1.22244078132637e-10,NaN
7,NaN,NaN,1.78476245081326e-10,NaN
10,NaN,NaN,-4.52570593518276e-11,NaN
15,NaN,NaN,-9.48154791764454e-11,NaN
20,NaN,NaN,1.66832055089442e-10,NaN
