t,IPR_O_Obs,IPR_R_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.000283758212373171,1.01448752414426,-0.0211743430288426,-0.00601818944490234
0.08,NaN,0.240022051064068,NaN,NaN
0.15,NaN,0.0729070936954186,NaN,NaN
0.2,NaN,NaN,0.762715343329425,NaN
0.25,0.017386258820175,-0.00697167795137892,NaN,0.303162898217885
0.35,NaN,0.0227452396502921,NaN,NaN
0.4,NaN,NaN,0.551110430437962,NaN
0.45,NaN,-0.0236324299097634,NaN,NaN
0.5,0.0134058485331115,NaN,NaN,0.388316301622962
0.6,NaN,0.0170319626138225,0.478534577475158,NaN
0.75,0.0115417754785143,0.00284437211512223,NaN,NaN
0.8,NaN,NaN,0.407386823524076,0.483174512253232
0.9,NaN,-0.00649500241741624,NaN,NaN
1,0.00929543177492202,NaN,0.427009867807467,0.512160394375897
1.5,0.00910372687895068,NaN,0.373794333618717,0.421536579768745
2,0.0124066131074992,NaN,0.478439811121224,0.463966419185937
2.5,0.00908285669817727,NaN,0.353701445081176,0.47183299548303
3,0.009086258265746,NaN,0.413745547429333,NaN
3.5,NaN,NaN,0.446085367682,NaN
4,0.0101699578804131,NaN,NaN,NaN
