t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,0.00014938865708392,0.87307827435996,0.00161935177311786
0.095,NaN,0.17281066087924,NaN
0.2,0.070900779588641,0.030132804776627,0.118072956543578
0.3,NaN,0.00318132407002515,NaN
0.45,0.023918873080627,0.000388431345834885,0.494956829553662
0.6,NaN,4.18959292178432e-05,NaN
0.65,0.0421143034050228,NaN,NaN
0.7,NaN,NaN,0.22719453624691
0.75,NaN,6.63526521136826e-06,NaN
0.95,0.0272724042976536,6.58615870462896e-06,0.472229156826947
1,0.0537456185250495,NaN,NaN
1.5,0.0407855206786997,NaN,0.20561578346267
2,0.0708503150035775,NaN,0.312958356466152
2.5,0.0287018823158792,NaN,NaN
3,0.0217481980073122,NaN,NaN
3.5,0.0254345674722463,NaN,NaN
