t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.006852962371647,1.01527527031772,-0.0805534635796541,0.000514788398527157,0.0931443818976996,1.00914517828937
0.08,NaN,0.00447486269175892,NaN,NaN,NaN,NaN
0.1,0.117863438906586,NaN,NaN,NaN,0.643224050509842,NaN
0.15,NaN,-0.0175228696374839,0.584463948632834,NaN,NaN,-0.000247436548507254
0.2,NaN,NaN,NaN,NaN,0.427895878435217,NaN
0.25,0.089188114475468,0.00645789841879461,NaN,0.0222466149629161,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,0.0271989094887291
0.35,0.0541810794023875,0.00719656363093837,0.801525361247491,NaN,0.311020897606941,NaN
0.45,NaN,0.00107156748132142,NaN,NaN,0.209443900104587,0.050933710231299
0.5,0.0300834222183038,NaN,0.731781444904724,0.0246056300418202,NaN,NaN
0.6,NaN,-0.0171947679252052,NaN,NaN,0.177532489721265,0.0443966470702329
0.65,0.0529361573682816,NaN,NaN,NaN,NaN,NaN
0.75,NaN,-0.0195638923027117,0.882057994049876,0.0210475459749862,0.256159220408307,NaN
0.8,NaN,NaN,NaN,NaN,NaN,0.0690722362043735
0.85,0.0539255774230045,NaN,NaN,NaN,NaN,NaN
0.9,NaN,NaN,NaN,NaN,0.203681298514947,NaN
0.95,NaN,0.00534956408293481,0.761568669237036,NaN,NaN,NaN
1,0.0510467979032438,NaN,0.826596900225375,0.0246854225106813,0.208127718838136,0.031229921431063
1.5,0.0341313305765877,NaN,0.839768671826378,0.0239861434144078,0.25200071899592,0.0611683337578926
2,0.0608461663107891,NaN,NaN,0.0172072288790688,0.26133416213119,NaN
