t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.989686439850143,0.980518761334839,0.937587035454719,-0.0217399994583618,0.997112774712095
0.1,NaN,NaN,NaN,0.485708666310578,NaN
0.15,NaN,NaN,0.982411960662393,NaN,NaN
0.2,0.469179594092938,1.01029178170194,NaN,0.6994014079108,NaN
0.3,NaN,NaN,0.97198510669215,0.84565526246642,0.90703136293123
0.35,NaN,0.84849858172952,NaN,NaN,NaN
0.45,0.447374266667766,NaN,NaN,0.910912756221044,NaN
0.5,NaN,NaN,1.01777376090317,NaN,NaN
0.6,NaN,0.842059595802991,NaN,1.01747756183198,0.990770452732351
0.65,0.480243986385334,NaN,1.05521485708723,NaN,NaN
0.8,NaN,0.818530161659408,NaN,0.965200154903493,NaN
0.85,NaN,NaN,0.977503341027508,NaN,NaN
0.9,0.558333113782061,NaN,NaN,NaN,NaN
0.95,NaN,NaN,NaN,NaN,0.877780897890318
1,0.614011845921748,0.898970502007622,1.02404125480183,1.03317601876179,NaN
1.5,0.605980590893328,0.923120500781261,0.969950586721216,NaN,0.957827636420105
2,0.566364032152457,0.836983236034971,0.975659650673842,NaN,0.987800857920431
2.5,0.601936024967054,NaN,NaN,NaN,NaN
3,0.586608612875596,NaN,NaN,NaN,0.928006365544353
3.5,NaN,NaN,NaN,NaN,1.0256425419901
4,0.637015225250057,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,1.06129530239306
