t,input_il6,nSOCS3RNA2_Obs
0,2.5,0.000173700626577885
0,2.5,0.000174169641843613
0,2.5,0.000178005748810956
0,2.5,0.000201550477649201
0,2.5,0.000219003970248734
0,10,0.000178906088698839
0,10,0.000188207188002834
0,10,0.000192510939376422
0,10,0.000223709846692939
0,10,0.00023377051470526
0,60,0.000163447159887983
0,60,0.000191099484975997
0,60,0.000191504752151304
0,60,0.0001955466873686
0,60,0.000247893730845217
0,120,0.000181008403835703
0,120,0.000184625926862804
0,120,0.000185513411031582
0,120,0.000202877055621806
0,120,0.000224637312203838
