t,input_il6,JAK1_gp130_Obs
53,0,0.242649990779158
53,0,0.245379213839509
53,0,0.202290138687527
53,0,0.223643050894146
53,0,0.242508081106753
53,0,0.268999209946353
53,0,0.21530164487279
53,0,0.198024822815806
53,0.0005,0.190614460904341
53,0.0005,0.217190376000007
53,0.0005,0.21822952769743
53,0.0005,0.245355644729023
53,0.0005,0.217977073544305
53,0.0005,0.22457030608695
53,0.0005,0.225076662896347
53,0.0005,0.265456904955445
53,0.005,0.244445655632563
53,0.005,0.221001045596929
53,0.05,0.22098823637973
53,0.05,0.242675148223532
53,0.05,0.231928486707541
53,0.05,0.228122714049165
53,0.05,0.224222146865958
53,0.05,0.261240023533627
53,0.1,0.219447887459711
53,0.1,0.236105039796255
53,0.5,0.195939251834321
53,0.5,0.22151458371031
53,0.5,0.259803149998833
53,0.5,0.213251075259415
53,0.5,0.217085050392783
53,0.5,0.241664797697051
53,0.5,0.220932524883488
53,0.5,0.219870063843084
53,1,0.237049065578409
53,1,0.246507697129362
53,2.5,0.239197015313187
53,2.5,0.225480078572693
53,5,0.23003863620592
53,5,0.187311008420392
53,5,0.204842729325696
53,5,0.253275252561807
53,5,0.13787148296927
53,5,0.124355195823141
53,5,0.219108348140876
53,5,0.228229974307451
53,10,0.0853142500263562
53,10,0.0999324476289973
53,10,0.0807407359764726
53,10,0.0831294466443052
53,10,0.080156986516859
53,10,0.0880302720938366
53,25,0.0828847245896719
53,25,0.0812899089526065
53,25,0.161309085035076
53,25,0.1680639211997
53,25,0.163386458158558
53,25,0.211389729303152
53,25,0.21467488670963
53,25,0.170536560724444
53,50,0.16711311443651
53,50,0.209804345335567
53,50,0.237755009401432
53,50,0.199965082334064
53,50,0.23612196058857
53,50,0.229595252710066
53,50,0.211356698128288
53,50,0.264872885800569
53,100,0.191600862883565
53,100,0.209572946726014
53,200,0.182527457640257
53,200,0.152403291405844
53,200,0.164107595116566
53,200,0.162510678046577
53,200,0.177181277762419
53,200,0.152945553366794
53,200,0.167646758110477
53,200,0.15367850857101
53,500,0.0437597009609759
53,500,0.0439384975239507
53,500,0.0416583820683534
53,500,0.0369186236699165
53,500,0.0502461395751064
53,500,0.0404580357185649
53,500,0.0410086990574446
53,500,0.0450559931294104
