t,JAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,1.07028333280854,26.4321424781678,39.885353058799,0.00195871403780048
5,NaN,NaN,NaN,0.00199580824099714
10,NaN,NaN,NaN,0.00320543313485138
15,NaN,NaN,99.6656987855157,0.00125374857194628
20,NaN,10.8454792425093,NaN,0.00199723824101806
25,0.269004639720942,NaN,NaN,NaN
30,NaN,NaN,NaN,0.000151752053334558
35,NaN,NaN,125.256292682279,0.000177416803390592
40,NaN,8.73122800008906,NaN,NaN
45,0.209708093324141,NaN,NaN,1.10074241796104e-05
50,NaN,NaN,162.309915182752,NaN
55,NaN,NaN,NaN,2.82525816588945e-06
60,NaN,16.5567920203071,NaN,NaN
70,0.195975731227715,NaN,69.9392271704201,4.65083690921279e-08
80,NaN,15.8479104289103,NaN,NaN
85,NaN,NaN,NaN,1.98642755827089e-09
90,NaN,NaN,73.5311457675322,NaN
100,0.221636192879993,14.2781103842763,77.3934616447263,NaN
150,0.113183725961548,15.1648680867256,133.556697446548,NaN
200,0.102010450267497,45.9881739832817,83.3183252363187,NaN
250,0.0588137187138196,19.5193676482009,76.4073824937881,NaN
300,0.0302582611980583,25.2519086032811,46.9161186981067,NaN
350,0.0160293983461558,40.875831393335,73.9653687037701,NaN
450,0.00866377162871414,35.7853249846469,53.3079677685198,NaN
