t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA5_Obs
0,75.6696405796319,47.956927633172,0.00305063070490602
10,NaN,36.5286095881865,NaN
15,24.0838093538146,NaN,0.00389717433536986
20,NaN,109.704383898184,NaN
25,22.0530166917862,NaN,NaN
30,NaN,NaN,0.0244778659038602
35,NaN,87.4639906247489,NaN
40,20.6513462320294,NaN,NaN
50,NaN,58.3184079778905,0.0117384582376775
55,37.5464089998779,NaN,NaN
65,NaN,40.0675882961442,NaN
70,30.5318562385061,NaN,0.00603945371801208
85,NaN,30.5173576363703,NaN
90,NaN,NaN,0.00338830968820805
95,34.8889963419446,NaN,NaN
100,30.7599839983089,25.341321600066,0.00606280111288598
150,25.171097788005,35.8810556281646,0.00334356285657619
200,19.8340688554695,NaN,0.00236185688282338
