t,JAK1_gp130_Obs,pJAK1_gp130_Obs,nSOCS3RNA3_Obs,SOCS3_Obs
0,0.316083125533619,0.00056434352978588,0.000785588479360233,0.0227813704569341
20,NaN,0.0103696575383805,0.0177258341310243,0.140249540862045
30,0.230768416229683,NaN,NaN,NaN
35,NaN,NaN,NaN,0.389569513364898
40,NaN,0.00878665293402643,0.0248941277519877,NaN
60,0.180649351025426,0.00774767552188093,0.0196823030137483,0.369652951185604
80,NaN,0.0066560584413025,NaN,0.329077334491939
85,NaN,NaN,0.0170075160873925,NaN
95,0.163926298706058,NaN,NaN,NaN
100,NaN,0.00669720814754639,0.0168726264242612,0.269323935132246
150,0.142711809448211,0.00619110166178541,0.0149812019869988,0.252065485358514
200,0.148974566409204,0.0063532075543589,0.0126619024308507,0.271173493553641
250,NaN,0.00580528948211366,0.0139103950302218,0.239556621151115
300,0.169515681242236,NaN,0.0142008600863537,0.238446931827146
350,0.142125651225405,NaN,NaN,NaN
450,0.128518246492713,NaN,NaN,NaN
