t,JAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,0.514822185160195,24.7717975468285,-8.76402891932488e-06
10,NaN,14.5506580991584,NaN
15,NaN,NaN,0.000511397737979007
20,0.294265074566965,NaN,NaN
25,NaN,14.8281959713579,NaN
30,NaN,NaN,0.00586190586421546
35,NaN,20.0615082369696,NaN
45,0.241291699511854,NaN,0.00746123352438155
50,NaN,23.3912835252523,NaN
65,0.171453948152377,26.8024807751548,0.00190744660357392
85,NaN,26.3622569164907,0.000195500655450014
90,0.237203088108473,NaN,NaN
100,0.229949307082115,26.4577111597693,6.93338842418228e-05
150,0.294681794169113,27.3197735198241,0.000104304144242238
200,0.354608157919524,NaN,NaN
250,0.401457515208735,NaN,NaN
300,0.447534283685907,NaN,NaN
350,0.448944976949578,NaN,NaN
450,0.473255376055104,NaN,NaN
