t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00154853053200334,0.047014011468949,0.00137588676047998
10,NaN,NaN,0.00393752345067805
15,0.0344259438341156,8.93603442549726,NaN
25,NaN,21.2273492759736,0.666725650901735
30,9.12917398892049e-06,NaN,NaN
40,NaN,6.9588374936292,0.686426451140457
45,1.02677869467477e-05,NaN,NaN
55,NaN,0.753890381686842,0.152966560086183
60,1.48222881578562e-05,NaN,NaN
70,NaN,NaN,0.0249710568359322
75,NaN,0.022959763964168,NaN
80,6.43117932197041e-05,NaN,NaN
90,NaN,0.00987596485260951,0.000920660897482735
100,0.000242054262777754,0.0110537379380438,0.000158419061792992
150,0.000628178951768099,0.0135792306541789,7.85423821484335e-05
200,NaN,0.0221368283480376,NaN
250,NaN,0.0374769396205354,NaN
