t,Compound_6_Obs,Compound_8_Obs,Compound_11_Obs,Compound_12_Obs
0,14.7502272393221,0.0121044472747747,29.1626599793209,0.0164781238040755
8.5,NaN,NaN,33.4162359923534,NaN
9.5,NaN,0.0291267732620465,NaN,NaN
10,14.155043939523,NaN,NaN,0.0425050259029623
15,NaN,NaN,36.0653538853492,NaN
20,NaN,0.247698858908467,NaN,NaN
25,12.1619217407975,NaN,43.1720484241525,0.865377815018851
30,NaN,0.617497705913963,NaN,NaN
35,12.0874545083354,NaN,38.1461619808234,0.957583255853704
40,NaN,0.46026588760265,NaN,NaN
50,13.3343821382305,NaN,31.9533565333906,0.122932343257811
55,NaN,0.105962622484821,NaN,NaN
60,NaN,NaN,25.8498169399973,NaN
70,13.7600713018977,0.0905013547358086,NaN,0.186734140805047
75,NaN,NaN,33.043660812063,NaN
85,NaN,0.155299689256684,NaN,NaN
90,11.7877050467654,NaN,NaN,0.266063643695301
95,NaN,NaN,38.8731382377344,NaN
100,13.5658067239542,0.126777717921813,26.6393312961971,0.215192535846754
150,13.3594803932534,0.151315005108391,NaN,0.194810652393274
