t,input_il6,STAT3_Obs
530,0.1,40.0235818101749
530,0.1,40.0348031801221
530,0.5,40.0949680942682
530,0.5,42.149223822508
530,1,35.6630262463877
530,1,37.4390189628492
530,2.5,41.2057658370348
530,2.5,41.6857227643567
530,5,35.288113349922
530,5,39.5671461429296
530,10,36.1488423673649
530,10,45.5804946695777
530,25,33.1823656486709
530,25,43.2228376416209
530,50,36.255986145774
530,50,39.7575860232411
530,100,34.1699115438846
530,100,45.7003200663304
530,500,39.2742319965917
530,500,43.8762453329311
