t,input_il6,pJAK1_gp130_Obs
42,0,-0.00178068482333141
42,0,0.0022287787775115
42,0.5,0.000756566628592033
42,0.5,0.000650755920753052
42,1,0.00660484938022553
42,1,0.00228205086055728
42,2.5,0.0128464119956899
42,2.5,0.0116326959374738
42,5,0.0631304322667242
42,5,0.0621568211780175
42,10,0.000903070363717489
42,10,0.00715665970795002
42,25,0.0293868191969923
42,25,0.0264075404578526
42,50,0.00168399882065139
42,50,0.00705637523199245
42,100,0.0478002755144803
42,100,0.0351316175210534
42,500,0.0997328544249213
42,500,0.0946679095782079
