t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,26.9010063227573,41.4905517944213,0.0131011175759093,-0.000148080868283669,0.200313626062456
9.5,NaN,70.7924734142747,NaN,0.00144112453676972,NaN
10,14.6376399136256,NaN,0.0454630589321057,NaN,0.171961201474218
20,3.29179246829848,89.1493385826376,NaN,0.00189898195872054,0.610054607863353
25,NaN,NaN,0.291169593299402,NaN,NaN
30,NaN,91.8870807529717,NaN,0.00602915512762388,NaN
35,18.4152640532997,NaN,0.664008534039742,NaN,3.7847311275654
40,NaN,NaN,NaN,0.0158229350806847,NaN
45,28.6123825217154,60.1445929206519,NaN,NaN,NaN
50,NaN,NaN,0.594354101374691,NaN,11.420832194989
55,NaN,23.9001604686443,NaN,0.0208077454891856,NaN
60,30.0737396791329,NaN,NaN,NaN,NaN
65,NaN,NaN,0.265307548654104,NaN,12.2970509118122
70,NaN,20.8038453431843,NaN,NaN,NaN
75,28.9162136117399,NaN,NaN,0.0101706247667537,NaN
85,NaN,NaN,0.0826608019901754,NaN,5.01811199437504
90,23.7208033400156,51.0859629605217,NaN,0.00539037263291892,NaN
100,23.5083759797103,38.2358263326537,0.0112204787894147,0.002115337133381,1.54755290387274
150,16.9911595410072,57.510477501774,0.18788665573937,NaN,1.88656196120711
200,21.0203199322931,NaN,NaN,NaN,NaN
